ProducerRecord(topic=test, partition=null, key=null, value=/subject/236153!@#3个夏天!@#3個夏天!@#7话 / Slime Yang / 吳若權!@#http://lain.bgm.tv/pic/cover/s/41/7b/236153_djjHg.jpg!@#http://bangumi.tv/subject/236153
ProducerRecord(topic=test, partition=null, key=null, value=/subject/147068!@#3月的狮子!@#3月のライオン!@#22话 / 2016年10月8日 / 新房昭之 / 羽海野チカ!@#http://lain.bgm.tv/pic/cover/s/a7/86/147068_60GJJ.jpg!@#http://bangumi.tv/subject/147068
ProducerRecord(topic=test, partition=null, key=null, value=/subject/211567!@#3月的狮子 第二季!@#3月のライオン 第2シリーズ!@#22话 / 2017年10月14日 / 新房昭之 / 羽海野チカ（白泉社 ヤングアニマル連載） / 杉山延寛!@#http://lain.bgm.tv/pic/cover/s/5c/49/211567_FOp5p.jpg!@#http://bangumi.tv/subject/211567
ProducerRecord(topic=test, partition=null, key=null, value=/subject/49436!@#47都道府犬!@#47都道府犬!@#52话 / 2011年4月7日!@#http://lain.bgm.tv/pic/cover/s/8e/83/49436_WkZ9m.jpg!@#http://bangumi.tv/subject/49436
ProducerRecord(topic=test, partition=null, key=null, value=/subject/90899!@#47都道府犬R!@#47都道府犬R!@#12话 / 2014年1月11日!@#http://lain.bgm.tv/pic/cover/s/f3/22/90899_wSnbk.jpg!@#http://bangumi.tv/subject/90899
ProducerRecord(topic=test, partition=null, key=null, value=/subject/55723!@#单车之战!@#48×61!@#1话 / 2004!@#http://lain.bgm.tv/pic/cover/s/5c/f2/55723_oI69j.jpg!@#http://bangumi.tv/subject/55723
ProducerRecord(topic=test, partition=null, key=null, value=/subject/166653!@#5米8!@#5 mètres 80!@#2013-5 / Nicolas Deveaux!@#http://lain.bgm.tv/pic/cover/s/41/19/166653_IxyCW.jpg!@#http://bangumi.tv/subject/166653
ProducerRecord(topic=test, partition=null, key=null, value=/subject/241694!@#巴塞雷缪·库宾斯的五百顶帽子!@#500 Hats of Bartholemew Cubbins!@#1943 / George Pal!@#null!@#http://bangumi.tv/subject/241694
ProducerRecord(topic=test, partition=null, key=null, value=/subject/99872!@#我想当第5名!@#5等になりたい!@#1995年10月10日 / 加藤盟 / 岸川悦子!@#http://lain.bgm.tv/pic/cover/s/0e/23/99872_7r2wO.jpg!@#http://bangumi.tv/subject/99872
ProducerRecord(topic=test, partition=null, key=null, value=/subject/110778!@#69ピンクライダース!@#o_o ....!@#2话 / 2000年6月30日!@#http://bangumi.tv/img/no_icon_subject.png!@#http://bangumi.tv/subject/110778
ProducerRecord(topic=test, partition=null, key=null, value=/subject/195327!@#六子与赛马物语!@#6つ子とおうまの物語!@#6话 / 2016年10月13日!@#http://lain.bgm.tv/pic/cover/s/3c/22/195327_9859t.jpg!@#http://bangumi.tv/subject/195327
ProducerRecord(topic=test, partition=null, key=null, value=/subject/95782!@#七个小矮人!@#7 Zwerge!@#2014年1月30日!@#http://lain.bgm.tv/pic/cover/s/6e/fd/95782_OAA2k.jpg!@#http://bangumi.tv/subject/95782
ProducerRecord(topic=test, partition=null, key=null, value=/subject/137279!@#70!@#o_o ....!@#1970 / Robert Breer!@#http://lain.bgm.tv/pic/cover/s/23/d9/137279_OWfkk.jpg!@#http://bangumi.tv/subject/137279
ProducerRecord(topic=test, partition=null, key=null, value=/subject/40197!@#78转!@#78 Tours!@#1话 / 1985 / 乔治·史威兹贝尔!@#http://lain.bgm.tv/pic/cover/s/dc/c8/40197_eeM6N.jpg!@#http://bangumi.tv/subject/40197
ProducerRecord(topic=test, partition=null, key=null, value=/subject/267658!@#幻海奇情!@#7SEEDS!@#2019年4月!@#http://lain.bgm.tv/pic/cover/s/41/90/267658_vv00K.jpg!@#http://bangumi.tv/subject/267658
ProducerRecord(topic=test, partition=null, key=null, value=/subject/158299!@#8.9地震!@#8.9!@#2014 / Pedro Vergani!@#http://lain.bgm.tv/pic/cover/s/f7/fb/158299_0rj70.jpg!@#http://bangumi.tv/subject/158299
ProducerRecord(topic=test, partition=null, key=null, value=/subject/114738!@#81号农场之保卫麦咭!@#o_o ....!@#1话 / 2013年9月28日(中国大陆) / (小)徐克!@#http://lain.bgm.tv/pic/cover/s/36/79/114738_hhpDw.jpg!@#http://bangumi.tv/subject/114738
ProducerRecord(topic=test, partition=null, key=null, value=/subject/114736!@#81号农场之疯狂的麦咭!@#o_o ....!@#1话 / 2014年10月1日(中国大陆) / (小)徐克!@#http://lain.bgm.tv/pic/cover/s/f1/29/114736_1pjSE.jpg!@#http://bangumi.tv/subject/114736
ProducerRecord(topic=test, partition=null, key=null, value=/subject/109070!@#八月奏曲!@#8月のシンフォニー —渋谷2002～2003!@#2009年8月22日 / 西澤昭男 / 川嶋あい / 柳野龍男!@#http://lain.bgm.tv/pic/cover/s/1f/8c/109070_KUoD7.jpg!@#http://bangumi.tv/subject/109070
ProducerRecord(topic=test, partition=null, key=null, value=/subject/126018!@#机器人9号!@#9!@#2009-09-09!@#http://lain.bgm.tv/pic/cover/s/a1/0b/126018_zH8GG.jpg!@#http://bangumi.tv/subject/126018
ProducerRecord(topic=test, partition=null, key=null, value=/subject/136803!@#九!@#9!@#2005 / Shane Acker!@#http://lain.bgm.tv/pic/cover/s/ca/ef/136803_TRk90.jpg!@#http://bangumi.tv/subject/136803
num_of_pages: 4
ProducerRecord(topic=test, partition=null, key=null, value=/subject/175198!@#91天!@#91Days!@#13话 / 2016年7月8日 / 鏑木ひろ / ヴァネッティファミリー / 岸友洋!@#http://lain.bgm.tv/pic/cover/s/d1/5c/175198_88XXA.jpg!@#http://bangumi.tv/subject/175198
ProducerRecord(topic=test, partition=null, key=null, value=/subject/113092!@#查理布朗男孩!@#A Boy Named Charlie Brown!@#1971-08-26!@#http://lain.bgm.tv/pic/cover/s/84/47/113092_II1xx.jpg!@#http://bangumi.tv/subject/113092
ProducerRecord(topic=test, partition=null, key=null, value=/subject/40199!@#进化简史!@#A Brief History Of Pretty Much Everything!@#1话 / 2010 / Jamie Bell!@#http://lain.bgm.tv/pic/cover/s/d1/f6/40199_WttRX.jpg!@#http://bangumi.tv/subject/40199
ProducerRecord(topic=test, partition=null, key=null, value=/subject/46117!@#虫虫危机!@#A Bug's Life!@#1话 / 1998-11-25!@#http://lain.bgm.tv/pic/cover/s/4f/fb/46117_7kl64.jpg!@#http://bangumi.tv/subject/46117
ProducerRecord(topic=test, partition=null, key=null, value=/subject/137381!@#椅子的故事!@#A Chairy Tale!@#1999-11-30 / Claude Jutra / Norman McLaren!@#http://lain.bgm.tv/pic/cover/s/69/5c/137381_8stNE.jpg!@#http://bangumi.tv/subject/137381
ProducerRecord(topic=test, partition=null, key=null, value=/subject/234250!@#查理布朗的圣诞节!@#A Charlie Brown Christmas!@#1话 / 1965-12-09!@#null!@#http://bangumi.tv/subject/234250
ProducerRecord(topic=test, partition=null, key=null, value=/subject/113323!@#圣诞颂歌!@#A Christmas Carol!@#2009-11-06(美国)!@#http://lain.bgm.tv/pic/cover/s/1e/c7/113323_fzQFt.jpg!@#http://bangumi.tv/subject/113323
ProducerRecord(topic=test, partition=null, key=null, value=/subject/132408!@#圣诞颂歌!@#A Christmas Carol!@#1971-12-21 / 理查德·威廉姆斯!@#http://lain.bgm.tv/pic/cover/s/c2/c0/132408_h5Fm2.jpg!@#http://bangumi.tv/subject/132408
ProducerRecord(topic=test, partition=null, key=null, value=/subject/169753!@#小丑的爱情故事!@#A Clown's Love Story!@#2007!@#http://lain.bgm.tv/pic/cover/s/06/c9/169753_sh1a6.jpg!@#http://bangumi.tv/subject/169753
ProducerRecord(topic=test, partition=null, key=null, value=/subject/136837!@#彩色盒子!@#A Colour Box!@#1935 / 雷恩·莱!@#http://lain.bgm.tv/pic/cover/s/ea/02/136837_RUk4j.jpg!@#http://bangumi.tv/subject/136837
